Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
37,2,20150401,20150430,H16:H19,HBW,Resident,4.27,4.27
11,23,20150401,20150430,H16:H19,NHB,Visitor,72.1,12.01666667
8,37,20150401,20150430,H16:H19,HBO,Resident,15.25,5.083333333
8,12,20150401,20150430,H16:H19,HBO,Resident,73.81,7.381
24,40,20150401,20150430,H16:H19,NHB,Visitor,21.92,7.306666667
33,31,20150401,20150430,H07:H10,HBW,Resident,46.44,7.74
18,24,20150401,20150430,H07:H10,NHB,Visitor,122.35,6.797222222
12,30,20150401,20150430,H07:H10,HBO,Resident,118.37,27.31615385
15,35,20150401,20150430,H16:H19,NHB,Visitor,18.57,6.19
10,36,20150401,20150430,H16:H19,HBO,Resident,77.25,12.875
19,25,20150401,20150430,H16:H19,NHB,Visitor,75.78,13.77818182
9,19,20150401,20150430,H16:H19,HBW,Resident,13.13,3.2825
4,22,20150401,20150430,H16:H19,HBO,Resident,8.13,8.13
19,22,20150401,20150430,H16:H19,NHB,Resident,39.89,23.934
26,14,20150401,20150430,H07:H10,HBO,Resident,133.65,33.4125
19,30,20150401,20150430,H16:H19,HBW,Resident,16.21,8.105
34,2,20150401,20150430,H07:H10,HBO,Resident,17.74,5.913333333
24,35,20150401,20150430,H07:H10,NHB,Visitor,7.13,7.13
33,36,20150401,20150430,H07:H10,NHB,Resident,27.46,9.153333333
7,23,20150401,20150430,H07:H10,NHB,Visitor,11.08,5.54
32,14,20150401,20150430,H16:H19,HBW,Resident,29.84,5.968
13,35,20150401,20150430,H16:H19,HBO,Resident,28.66,17.196
25,36,20150401,20150430,H16:H19,HBO,Resident,61.88,6.875555556
12,8,20150401,20150430,H16:H19,NHB,Resident,24.15,12.075
33,7,20150401,20150430,H16:H19,HBO,Resident,39.32,11.23428571
14,19,20150401,20150430,H16:H19,HBW,Resident,28.54,4.756666667
30,15,20150401,20150430,H07:H10,NHB,Resident,60.19,6.687777778
32,6,20150401,20150430,H16:H19,NHB,Resident,26.63,26.63
34,25,20150401,20150430,H07:H10,HBO,Resident,18.22,9.11
15,33,20150401,20150430,H16:H19,HBW,Resident,24.52,8.173333333
29,14,20150401,20150430,H16:H19,HBW,Resident,122.97,6.1485
8,25,20150401,20150430,H07:H10,HBO,Resident,25.13,18.8475
37,11,20150401,20150430,H16:H19,NHB,Visitor,16.69,5.563333333
30,15,20150401,20150430,H16:H19,HBO,Resident,27.4,5.48
35,22,20150401,20150430,H16:H19,HBO,Resident,20.81,10.405
29,36,20150401,20150430,H16:H19,HBO,Resident,11.18,5.59
36,13,20150401,20150430,H07:H10,NHB,Resident,58.75,19.58333333
27,31,20150401,20150430,H07:H10,HBO,Resident,33.06,8.265
14,23,20150401,20150430,H07:H10,NHB,Visitor,33.02,6.604
24,29,20150401,20150430,H16:H19,HBW,Resident,38.38,7.676
3,21,20150401,20150430,H07:H10,NHB,Visitor,11.49,5.745
6,33,20150401,20150430,H16:H19,HBW,Resident,18.61,9.305
34,20,20150401,20150430,H07:H10,HBW,Resident,84.97,28.32333333
20,34,20150401,20150430,H16:H19,HBW,Resident,62.74,31.37
28,10,20150401,20150430,H16:H19,NHB,Resident,26.15,8.716666667
30,11,20150401,20150430,H16:H19,HBW,Resident,58.68,6.52
8,25,20150401,20150430,H07:H10,NHB,Resident,73.44,14.688
